ID,ReleaseDate,Rank,Movie,Distributor,Genre,Gross,Tickets Sold
157,06-05-2011,8,Thor,Paramount Pictures,Action,181030624,22828578
158,13-10-2023,11,TAYLOR SWIFT | THE ERAS TOUR,AMC Theatres Dist…,Concert/Perfor…,180560779,16749608
159,17-07-2015,14,Ant-Man,Walt Disney,Action,180202163,21376294
160,22-11-2017,13,Coco,Walt Disney,Musical,179834199,20048405
161,25-05-2012,12,Men in Black 3,Sony Pictures,Action,179020854,22490057
162,02-11-2012,13,Wreck-It Ralph,Walt Disney,Adventure,178501640,22424829
163,27-03-2015,15,Home,20th Century Fox,Adventure,177397510,21043595
164,13-06-2014,16,How to Train Your Dragon 2,20th Century Fox,Adventure,177002924,21664984
165,05-08-2011,9,Rise of the Planet of the Apes,20th Century Fox,Adventure,176760185,22290061
166,22-07-2011,10,Captain America: The First Avenger,Paramount Pictures,Action,176654505,22276735
167,11-06-2010,11,The Karate Kid,Sony Pictures,Action,176591618,22381701
168,10-02-2017,14,The Lego Batman Movie,Warner Bros.,Adventure,175750384,19593131
169,24-02-2017,15,Get Out,Universal,Horror,175484140,19563449
170,22-03-2019,12,Us,Universal,Horror,175084580,19114037
171,31-03-2017,16,The Boss Baby,20th Century Fox,Adventure,175003033,19509814
172,15-08-2018,17,Crazy Rich Asians,Warner Bros.,Romantic Comedy,174519335,19156897
173,30-06-2023,12,Indiana Jones and the Dial of Destiny,Walt Disney,Adventure,174480468,16185572
174,02-08-2019,13,Fast & Furious Presents: Hobbs & Shaw,Universal,Action,173956935,18990932
175,25-06-2021,5,F9: The Fast Saga,Universal,Action,173005945,17011401
176,12-07-2023,13,Mission: Impossible Dead Reckoning Part 1,Paramount Pictures,Action,172640980,16014933
177,26-05-2017,17,Pirates of the Caribbean: Dead Man's Chest,Walt Disney,Adventure,172558876,19237332
178,10-05-2024,10,Kingdom of the Planet of the Apes,20th Century Studios,Action,171130165,15874783
179,17-05-2019,14,John Wick: Chapter 3 — Parabellum,Lionsgate,Action,171015687,18669834
180,10-08-2011,11,The Help,Walt Disney,Drama,169499546,21374469
181,13-05-2011,12,Bridesmaids,Universal,Comedy,169211718,21338174
182,20-12-2017,18,Jumanji: Welcome to the Jungle,Sony Pictures,Adventure,169002557,18840865
183,25-09-2015,16,Hotel Transylvania 2,Sony Pictures,Adventure,168471018,19984700
184,21-10-2022,11,Black Adam,Warner Bros.,Action,168054237,15959567
185,10-03-2017,19,Kong: Skull Island,Warner Bros.,Adventure,168052812,18734985
186,24-11-2010,12,Tangled,Walt Disney,Adventure,167821986,21270213
